person_id,movie_id
1777,68873
103722,68873
2145,68883
2769,68883
469,68903
1115,68903
47,68909
564,68909
28674,68909
469,68912
580565,68912
32,68920
145284,68920
314,68931
1821,68931
385,68962
347656,68962
47,68970
1137,68970
1137,68984
752751,68984
140,68990
149,68990
367,68991
603402,68991
80,68994
291512,68994
648920,68994
737,68997
5078,68997
934113,68997
8,69007
28674,69007
489,69024
1088,69024
621,69031
283499,69031
1884,69035
880521,69035
52,69079
1381,69079
527,69080
993,69080
625167,69080
656183,69080
640,69084
690,69084
95,69097
473,69097
731634,69097
578,69098
1839,69098
56,69103
1510,69103
947,69112
813755,69112
308,69113
432,69113
999,69113
1859,69113
432,69121
651,69121
1201,69131
867694,69131
640,69158
400464,69158
336,69159
1699,69159
1970,69212
421543,69212
439344,69212
628017,69212
728,69220
243175,69220
545,69225
878302,69225
80,69229
121091,69229
1699,69248
626259,69248
32,69278
981,69278
590796,69278
500038,69280
733929,69280
1001,69282
1967,69282
489837,69282
427894,69291
647970,69291
1807,69303
934902,69303
302,69307
516972,69307
92639,69318
108470,69318
1058,69341
1088,69341
1258,69371
1358,69371
1684,69371
978,69385
552863,69385
628233,69385
640289,69385
257,69386
1100,69386
404,69398
598971,69398
1283,69404
1749,69404
906627,69414
934902,69414
44,69436
1117,69436
1500,69457
593844,69457
885203,69457
493,69483
1673,69483
248983,69483
364455,69483
5078,69487
950867,69487
587,69489
1406,69489
1404,69495
550318,69495
641939,69495
1847,69496
2078,69496
53,69515
1449,69515
1016,69524
1347,69524
843,69528
1727,69528
1036,69530
1657,69530
291512,69676
614677,69676
731772,69676
790272,69676
1648,69678
864892,69678
661,69688
867588,69688
640,69762
651,69762
643105,69762
134,69765
306696,69765
1394,69805
1657,69805
769,69808
1434,69808
1719,69808
186469,69824
493271,69824
506405,69841
551908,69841
621,69866
1458,69866
1001,69883
908919,69883
239816,69912
734000,69912
1800,69923
614916,69923
728,69960
626259,69960
1458,69976
643105,69976
516215,69979
734000,69979
164,69987
1186,69987
404,69988
2081,69988
2145,69988
1233,69989
2078,69989
86706,70022
752751,70022
308,70030
1018,70030
273178,70040
868479,70040
995,70047
1884,70047
1902,70068
880521,70068
53,70077
1967,70077
430151,70077
444198,70077
846,70078
1088,70078
268,70083
1702,70083
35866,70102
283499,70102
467,70157
456124,70157
926235,70157
336,70158
765546,70158
569000,70162
580565,70162
65320,70164
385757,70164
656183,70164
859384,70164
587,70170
1648,70170
1018,70174
1277,70174
1850,70183
919924,70183
913,70238
162361,70238
640344,70238
991,70263
430151,70263
454,70267
1967,70267
643105,70267
380,70284
661,70284
642198,70284
313,70287
885,70287
280242,70287
674781,70287
1330,70289
28674,70289
197,70290
1642,70290
336,70291
1007,70291
527,70292
1136,70292
1283,70292
1522,70294
291512,70294
720890,70294
313,70332
1768,70332
934113,70332
1285,70334
1330,70334
1421,70337
880521,70337
56,70351
28674,70351
761212,70351
142,70355
1358,70355
752751,70355
134,70379
172,70379
308,70438
1262,70438
590796,70438
385757,70446
809671,70446
302,70460
181305,70460
125,70468
846,70468
2145,70468
580357,70468
1159,70472
1588,70472
1258,70481
385757,70481
940971,70481
961,70509
65320,70509
1404,70510
641939,70510
336,70518
1434,70518
722,70524
768,70524
626259,70552
926235,70552
947,70578
1626,70578
1727,70599
516800,70599
728,70600
813961,70600
698,70605
947,70605
978,70616
385757,70616
581277,70616
940971,70616
52,70625
734000,70625
489,70634
1088,70634
493,70640
123680,70640
318527,70640
374348,70640
199,70643
432,70643
1702,70672
516215,70672
608,70680
1007,70680
752636,70680
764134,70680
1164,70698
452288,70698
95,70707
473,70707
621,70716
283499,70716
1917,70721
4365,70721
661,70731
